Matrix Size,Poor OpenMP,Thrashing OpenMP,'Possible' Thrashing OpenMP,Correct OpenMP
32768,2.336,10.68,0.493,0.55
30720,2.142,8.6204,0.4208,0.4434
28672,1.9396,7.297,0.3688,0.3932
26624,1.7734,5.9888,0.3168,0.3386
24576,1.6172,4.9778,0.271,0.288
22528,1.4604,3.8454,0.2272,0.2456
20480,1.3306,3.043,0.1904,0.201
18432,1.1874,2.5128,0.1618,0.1764
16384,1.0526,2.0206,0.1226,0.136
14336,0.9062,1.253,0.0978,0.1036
12288,0.7598,0.8036,0.0722,0.0806
10240,0.6412,0.4996,0.0579999,0.07
8192,0.4936,0.2828,0.0332,0.0406001
6144,0.3686,0.1112,0.0176,0.0202
4096,0.2484,0.0766,0.00759993,0.0102
